name,label
体弱者慎服,Contraindication
固精缩尿,Efficacy
固崩止带,Efficacy
涩肠止泻,Efficacy
收涩药，固精缩尿止带药,Category
明医指掌,Literature
陕甘宁青中草药诜,Literature
本草正,Literature
天目山药用植物志,Literature
闽东本草,Literature
有实火、邪热者忌服,Contraindication
敛肺定喘、止带缩尿,Efficacy
日用本草,Literature
补肝肾,Efficacy
缩小便,Efficacy
助阳固精,Efficacy
明目,Efficacy
中医杂志,Literature
肾虚有火，小便短涩者慎服,Contraindication
清肺降气,Efficacy
止咳平喘,Efficacy
清肠消痔,Efficacy
外科大成,Literature
虚寒咳喘及脾弱便泄者慎服内服过量，可致呕吐,Contraindication
清肺止咳,Efficacy
降逆止呕,Efficacy
急救良方,Literature
安徽药材,Literature
恩施中草药手册,Literature
胃寒呕吐入风寒咳嗽忌服,Contraindication
利水渗湿,Efficacy
泄热通淋,Efficacy
利水渗湿利尿通淋药,Category
素问病机保命集,Literature
外科正宗,Literature
肾虚精滑无湿热者禁服泽泻畏海蛤，文蛤,Contraindication
子母秘录,Literature
中国药用真菌,Literature
宽胸理气、通阳散结,Efficacy
陆川本草,Literature
肘后方,Literature
用药心法,Literature
气虚者、发热病人慎用,Contraindication
理气解郁,Efficacy
调经止痛,Efficacy
安胎,Efficacy
中藏经,Literature
澹寮方,Literature
凡气虚无滞、阴虚血热者忌服,Contraindication
理气宽中,Efficacy
止痛,Efficacy
中医中药与临床研究,Literature
本草崇原,Literature
开郁醒脾,Efficacy
"气虚血热者忌服《本草拾遗》：""得白芷、附子良""",Contraindication
温中,Efficacy
理气,Efficacy
无寒湿滞气者勿服,Contraindication
化痰理气,Efficacy
健胃消食,Efficacy
博白,Origin
陆川等地,Origin
常见病验方研究参考资料,Literature
气虚及阴虚有燥痰者不宜服,Contraindication
散结,Efficacy
光华医药杂志,Literature
食物中药与便方,Literature
体虚患者慎服,Contraindication
消积,Efficacy
散痞,Efficacy
杀虫、化瘕,Efficacy
医学纲目,Literature
何日中手集,Literature
脾胃虚弱及孕妇忌服多服耗气昏目,Contraindication
散结止痛,Efficacy
黄海,Origin
东海和南海,Origin
尤以台湾海域最多,Origin
药材学,Literature
湿病刍言,Literature
台湾府志,Literature
孕妇忌用,Contraindication
温中助阳,Efficacy
华南,Origin
华东地区与湖北,Origin
湖南等地,Origin
虫类药的应用,Literature
河南中医学院学报,Literature
本草新编,Literature
阴虚内热者忌服,Contraindication
行滞消胀,Efficacy
我国长江流域地区,Origin
主产于江西,Origin
婴童百问,Literature
山东医刊,Literature
草医草药简便验方汇编,Literature
活法机要,Literature
主治秘诀,Literature
重订严氏济生方,Literature
衍义,Literature
杜壬方,Literature
全幼心鉴,Literature
脾胃虚弱及孕妇幼儿慎服,Contraindication
破气消积,Efficacy
化痰散痞,Efficacy
内外伤辨惑论,Literature
医学正传,Literature
普济本事方,Literature
医心方,Literature
延年方,Literature
脾胃虚弱及孕妇慎服枳实虚而久病，不可误服大损真元，非邪实者，不可误用,Contraindication
利关节,Efficacy
行水气,Efficacy
梅师方,Literature
孕妇禁忌,Contraindication
辟秽开郁,Efficacy
四川中药志1979,Literature
随息居饮食谱,Literature
中国药用花卉,Literature
和血调经,Efficacy
山东草药手册,Literature
山东中药,Literature
药性考,Literature
阴虚火旺慎服,Contraindication
疏肝理气,Efficacy
宽中化痰,Efficacy
串雅外编,Literature
梅氏验方新编,Literature
华佗神医秘传,Literature
养疴漫笔,Literature
阴虚血燥及孕妇气虚者慎服,Contraindication
下气、降逆止呃,Efficacy
华东,Origin
中南及辽宁,Origin
陕西,Origin
甘肃,Origin
台湾等地,Origin
洁古家珍,Literature
舒肝理气,Efficacy
和胃止痛,Efficacy
长寿药粥谱,Literature
闽南民间草药,Literature
全国中药成药处方集,Literature
阴虚有火，无气滞症状者慎服,Contraindication
疏肝破气,Efficacy
散结消痰,Efficacy
疡科选粹,Literature
众妙仙方,Literature
气虚者慎服,Contraindication
理气健脾,Efficacy
燥湿化痰,Efficacy
壮族民间用药选编,Literature
阴虚燥咳，咯血、吐血或内有实热者慎用,Contraindication
舒肝、行气止痛,Efficacy
驱虫,Efficacy
河南,Origin
湖北中草药志,Literature
医方集解,Literature
脾胃虚寒者忌服,Contraindication
宽中,Efficacy
杀虫,Efficacy
《益部方物略记,Literature
本草纲目拾遗,Literature
通雅,Literature
杨春涯经验方,Literature
降气定痛,Efficacy
"孕妇禁忌《本草经集注》：""得酒良畏桔梗、麦门冬""",Contraindication
怯痰,Efficacy
驱虫止虫药,Category
云南,Origin
外用捣烂涂敷患处,Contraindication
祛风燥湿、攻毒杀虫,Efficacy
泰国,Origin
越南,Origin
柬埔寨,Origin
印度尼西亚,Origin
印度等国,Origin
疠疡机要,Literature
国药的药理学,Literature
血证论,Literature
寿域神方,Literature
岭南卫生方,Literature
仙拈集,Literature
有毒，一般作外用，内服需医嘱,Contraindication
逐水祛痰,Efficacy
破积杀虫,Efficacy
辽宁,Origin
山西等地,Origin
高原中草药治疗手册,Literature
有毒，一般作外用，内服需医嘱孕妇禁服不宜与密陀僧同用,Contraindication
活血通络,Efficacy
消肿止痛,Efficacy
杀虫解毒,Efficacy
有大毒，内服宜慎凡疮痒出血者慎用,Contraindication
杀虫止痒,Efficacy
纂要奇方,Literature
养生经验合集,Literature
陕西中药志,Literature
