disease_name,department_name
飞蚊症,五官科
飞蚊症,眼科
口腔炎,五官科
口腔炎,口腔科
唇炎,五官科
唇炎,口腔科
舌炎,五官科
舌炎,口腔科
口腔干燥综合征,五官科
口腔干燥综合征,口腔科
牙结石,五官科
牙结石,口腔科
蝶窦炎,五官科
蝶窦炎,耳鼻喉科
口周湿疹,五官科
口周湿疹,口腔科
黄斑变性,五官科
黄斑变性,眼科
虹膜炎,五官科
虹膜炎,眼科
病毒性结膜炎,五官科
病毒性结膜炎,眼科
慢性卡他性结膜炎,五官科
慢性卡他性结膜炎,眼科
视网膜脱落,五官科
视网膜脱落,眼科
眼结石,五官科
眼结石,眼科
流行性角结膜炎,五官科
流行性角结膜炎,眼科
眼外伤,五官科
眼外伤,眼科
过敏性结膜炎,五官科
过敏性结膜炎,眼科
老视,五官科
老视,眼科
原发性开角型青光眼,五官科
原发性开角型青光眼,眼科
牙斑,五官科
牙斑,口腔科
牙周脓肿,五官科
牙周脓肿,口腔科
裂纹舌,五官科
裂纹舌,口腔科
牙病,五官科
牙病,口腔科
慢性牙周炎,五官科
慢性牙周炎,口腔科
会厌囊肿,五官科
会厌囊肿,耳鼻喉科
鼻外伤,五官科
鼻外伤,耳鼻喉科
喉肿瘤,五官科
喉肿瘤,耳鼻喉科
梅尼埃病,五官科
梅尼埃病,耳鼻喉科
喉切伤,五官科
喉切伤,耳鼻喉科
筛窦炎,五官科
筛窦炎,耳鼻喉科
化脓性中耳炎,五官科
化脓性中耳炎,耳鼻喉科
喉淀粉样变,五官科
喉淀粉样变,耳鼻喉科
脑癌,肿瘤科
脑癌,肿瘤内科
癌症,肿瘤科
癌症,肿瘤内科
肿瘤,肿瘤科
肿瘤,肿瘤内科
睾丸癌,肿瘤科
睾丸癌,肿瘤外科
乳房肉瘤,肿瘤科
乳房肉瘤,肿瘤外科
生殖细胞瘤,肿瘤科
生殖细胞瘤,肿瘤内科
扁桃体癌,肿瘤科
扁桃体癌,肿瘤内科
乳腺肿瘤,肿瘤科
乳腺肿瘤,肿瘤外科
肛周肿瘤,肿瘤科
肛周肿瘤,肿瘤内科
肾肿瘤,肿瘤科
肾肿瘤,肿瘤外科
绝经期乳腺癌,肿瘤科
绝经期乳腺癌,肿瘤外科
错构瘤,肿瘤科
错构瘤,肿瘤外科
恶性肿瘤,肿瘤科
恶性肿瘤,肿瘤内科
乙状结肠癌,肿瘤科
乙状结肠癌,肿瘤内科
甲状腺乳头癌,肿瘤科
甲状腺乳头癌,肿瘤内科
癌性疼痛,肿瘤科
癌性疼痛,肿瘤内科
尤因肉瘤,肿瘤科
尤因肉瘤,肿瘤内科
阴道粒细胞肉瘤,肿瘤科
阴道粒细胞肉瘤,肿瘤内科
胰头癌,肿瘤科
胰头癌,肿瘤外科
乳房外湿疹样癌,肿瘤科
乳房外湿疹样癌,肿瘤外科
软纤维瘤,肿瘤科
软纤维瘤,肿瘤外科
宫颈腺癌,肿瘤科
宫颈腺癌,肿瘤外科
阑尾类癌,肿瘤科
阑尾类癌,肿瘤外科
角膜鳞状细胞癌,肿瘤科
角膜鳞状细胞癌,肿瘤外科
精神病,精神科
社交恐惧症,精神科
睡眠障碍,精神科
前庭功能紊乱,精神科
密集恐惧症,精神科
精神障碍,精神科
