prescription_name,herb_name,dosage
仙遗粮汤,连翘,六分（1.8g）
仙遗粮汤,干葛,六分（1.8g）
仙遗粮汤,白芷,六分（1.8g）
仙遗粮汤,甘草,六分（1.8g）
仙遗粮汤,黄芩,六分（1.8g）
仙遗粮汤,鲜土茯苓,60克（洗净
仙遗粮汤,木石臼内捣碎）,适量
仙遗粮汤,当归,适量
仙遗粮汤,生地,适量
仙遗粮汤,防风,适量
仙遗粮汤,木通,适量
仙遗粮汤,薏仁,2.4克
仙遗粮汤,金银花,适量
仙遗粮汤,黄连,适量
仙遗粮汤,连翘,3克
仙遗粮汤,白术,适量
仙遗粮汤,白鲜皮,2.1克
仙遗粮汤,皂刺,1.8克
仙遗粮汤,甘草,1.2克
仙遗粮汤,灯心,20根
仙遗粮汤,土茯苓(干者,七钱)一两
仙遗粮汤,防风,五分
仙遗粮汤,木瓜,五分
仙遗粮汤,木通,五分
仙遗粮汤,薏苡仁,五分
仙遗粮汤,白鲜皮,五分
仙遗粮汤,金银花,五分
仙遗粮汤,皂子,四分
仙遗粮汤,川芎,一钱
仙遗粮汤,当归,一钱
仙遗粮汤,防风,一钱
仙遗粮汤,米仁,一钱
仙遗粮汤,木瓜,一钱
仙遗粮汤,木通,一钱
仙遗粮汤,银花,一钱
仙遗粮汤,白鲜皮,一钱
仙遗粮汤,苍术,一钱
仙遗粮汤,威灵仙,一钱
仙遗粮汤,甘草,五分
仙遗粮汤,肥皂(片,适量
仙遗粮汤,微)五个,适量
仙遗粮汤,木槌),二两
仙遗粮汤,仙遗粮四两(,120g)
仙遗粮汤,防风,三钱(10g)
仙遗粮汤,荆芥,三钱(10g)
仙遗粮汤,川芎,三钱(10g)
仙遗粮汤,当归,三钱(10g)
仙遗粮汤,天花粉,三钱(10g)
仙遗粮汤,金银花,三钱(10g)
仙遗粮汤,白蒺藜,三钱(10g)
仙遗粮汤,牛膝,三钱(10g)
仙遗粮汤,苡仁,三钱(10g)
仙遗粮汤,威灵仙,三钱(10g)
仙遗粮汤,山栀,三钱(10g)
仙遗粮汤,黄连,三钱(10g)
仙遗粮汤,连翘,三钱(10g)
仙遗粮汤,葛根,三钱(10g)
仙遗粮汤,白芷,三钱(10g)
仙遗粮汤,甘草,三钱(10g)
仙遗粮汤,黄芩,二钱(6g)
甘草麻黄汤（别名：麻黄汤、麻黄甘草汤、二物汤、麻甘汤、走马通圣散）,甘草,2两
甘草麻黄汤（别名：麻黄汤、麻黄甘草汤、二物汤、麻甘汤、走马通圣散）,麻黄,4两
甘草麻黄汤（别名：麻黄汤、麻黄甘草汤、二物汤、麻甘汤、走马通圣散）,麻黄,1分
甘草麻黄汤（别名：麻黄汤、麻黄甘草汤、二物汤、麻甘汤、走马通圣散）,杏仁,1分
甘草麻黄汤（别名：麻黄汤、麻黄甘草汤、二物汤、麻甘汤、走马通圣散）,桑白皮,1分
甘草麻黄汤（别名：麻黄汤、麻黄甘草汤、二物汤、麻甘汤、走马通圣散）,甘草,1分
甘草麻黄汤（别名：麻黄汤、麻黄甘草汤、二物汤、麻甘汤、走马通圣散）,麻黄,3分
甘草麻黄汤（别名：麻黄汤、麻黄甘草汤、二物汤、麻甘汤、走马通圣散）,地骨皮,半两
甘草麻黄汤（别名：麻黄汤、麻黄甘草汤、二物汤、麻甘汤、走马通圣散）,玄参,半两
甘草麻黄汤（别名：麻黄汤、麻黄甘草汤、二物汤、麻甘汤、走马通圣散）,五味子,3分
甘草麻黄汤（别名：麻黄汤、麻黄甘草汤、二物汤、麻甘汤、走马通圣散）,甘草(,适量
甘草麻黄汤（别名：麻黄汤、麻黄甘草汤、二物汤、麻甘汤、走马通圣散）,锉),1分
甘草麻黄汤（别名：麻黄汤、麻黄甘草汤、二物汤、麻甘汤、走马通圣散）,干姜,1分
甘草麻黄汤（别名：麻黄汤、麻黄甘草汤、二物汤、麻甘汤、走马通圣散）,附子(炮裂,适量
